time,"P(B1|X1|X32)","P(B1|X1|X43)","P(B2|X8|X33)","P(B1|X1|X42)","V(B1|X1|X32)","V(B1|X1|X43)","V(B2|X8|X33)","V(B1|X1|X42)"
0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1.000000e-13,1.905123e-06,1.905123e-06,1.906594e-06,1.905123e-06,9.404812e-09,9.404812e-09,9.412070e-09,9.404812e-09
2.000000e-13,1.029186e-05,1.029186e-05,1.029972e-05,1.029186e-05,3.826693e-08,3.826693e-08,3.829605e-08,3.826693e-08
3.000000e-13,3.180267e-05,3.180267e-05,3.182663e-05,3.180267e-05,9.238940e-08,9.238940e-08,9.245837e-08,9.238940e-08
4.000000e-13,7.391495e-05,7.391495e-05,7.396973e-05,7.391495e-05,1.724944e-07,1.724944e-07,1.726200e-07,1.724944e-07
5.000000e-13,1.437231e-04,1.437231e-04,1.438276e-04,1.437231e-04,2.753174e-07,2.753174e-07,2.755118e-07,2.753174e-07
6.000000e-13,2.470407e-04,2.470407e-04,2.472161e-04,2.470407e-04,3.951650e-07,3.951650e-07,3.954338e-07,3.951650e-07
7.000000e-13,3.878872e-04,3.878872e-04,3.881555e-04,3.878872e-04,5.252892e-07,5.252892e-07,5.256308e-07,5.252892e-07
8.000000e-13,5.683077e-04,5.683077e-04,5.686893e-04,5.683077e-04,6.588947e-07,6.588947e-07,6.593012e-07,6.588947e-07
9.000000e-13,7.884359e-04,7.884359e-04,7.889482e-04,7.884359e-04,7.897953e-07,7.897953e-07,7.902540e-07,7.897953e-07
1.000000e-12,1.046715e-03,1.046715e-03,1.047372e-03,1.046715e-03,9.127925e-07,9.127925e-07,9.132877e-07,9.127925e-07
1.100000e-12,1.340210e-03,1.340210e-03,1.341018e-03,1.340210e-03,1.023854e-06,1.023854e-06,1.024368e-06,1.023854e-06
1.200000e-12,1.664949e-03,1.664949e-03,1.665913e-03,1.664949e-03,1.120152e-06,1.120152e-06,1.120670e-06,1.120152e-06
1.300000e-12,2.016280e-03,2.016280e-03,2.017399e-03,2.016280e-03,1.200009e-06,1.200009e-06,1.200516e-06,1.200009e-06
1.400000e-12,2.389192e-03,2.389192e-03,2.390461e-03,2.389192e-03,1.262787e-06,1.262787e-06,1.263273e-06,1.262787e-06
1.500000e-12,2.778604e-03,2.778604e-03,2.780016e-03,2.778604e-03,1.308732e-06,1.308732e-06,1.309190e-06,1.308732e-06
1.600000e-12,3.179610e-03,3.179610e-03,3.181155e-03,3.179610e-03,1.338812e-06,1.338812e-06,1.339238e-06,1.338812e-06
1.700000e-12,3.587667e-03,3.587667e-03,3.589337e-03,3.587667e-03,1.354539e-06,1.354539e-06,1.354935e-06,1.354539e-06
1.800000e-12,3.998735e-03,3.998735e-03,4.000521e-03,3.998735e-03,1.357807e-06,1.357807e-06,1.358176e-06,1.357807e-06
1.900000e-12,4.409375e-03,4.409375e-03,4.411270e-03,4.409375e-03,1.350733e-06,1.350733e-06,1.351081e-06,1.350733e-06
2.000000e-12,4.816789e-03,4.816789e-03,4.818789e-03,4.816789e-03,1.335520e-06,1.335520e-06,1.335856e-06,1.335520e-06
2.100000e-12,5.218840e-03,5.218840e-03,5.220942e-03,5.218840e-03,1.314344e-06,1.314344e-06,1.314675e-06,1.314344e-06
2.200000e-12,5.614020e-03,5.614020e-03,5.616223e-03,5.614020e-03,1.289256e-06,1.289256e-06,1.289590e-06,1.289256e-06
2.300000e-12,6.001412e-03,6.001412e-03,6.003719e-03,6.001412e-03,1.262115e-06,1.262115e-06,1.262458e-06,1.262115e-06
2.400000e-12,6.380620e-03,6.380620e-03,6.383034e-03,6.380620e-03,1.234532e-06,1.234532e-06,1.234890e-06,1.234532e-06
2.500000e-12,6.751696e-03,6.751696e-03,6.754222e-03,6.751696e-03,1.207849e-06,1.207849e-06,1.208224e-06,1.207849e-06
2.600000e-12,7.115052e-03,7.115052e-03,7.117694e-03,7.115052e-03,1.183121e-06,1.183121e-06,1.183514e-06,1.183121e-06
2.700000e-12,7.471377e-03,7.471377e-03,7.474142e-03,7.471377e-03,1.161122e-06,1.161122e-06,1.161533e-06,1.161122e-06
2.800000e-12,7.821559e-03,7.821559e-03,7.824451e-03,7.821559e-03,1.142360e-06,1.142360e-06,1.142787e-06,1.142360e-06
2.900000e-12,8.166603e-03,8.166603e-03,8.169626e-03,8.166603e-03,1.127105e-06,1.127105e-06,1.127543e-06,1.127105e-06
3.000000e-12,8.507567e-03,8.507567e-03,8.510724e-03,8.507567e-03,1.115416e-06,1.115416e-06,1.115861e-06,1.115416e-06
3.100000e-12,8.845501e-03,8.845501e-03,8.848793e-03,8.845501e-03,1.107177e-06,1.107177e-06,1.107626e-06,1.107177e-06
