time,"P(B1|X1|X1|X35)","P(B2|X1|X1|X35)","P(B1|X2|X20|X35)","P(B2|X2|X20|X35)","V(R1)","P(B1|X1|X2|X2)","P(B2|X1|X2|X2)","P(B1|X2|X6|X7)","P(B2|X2|X6|X7)","P(B1|X1|X1|X5)","P(B2|X1|X1|X5)"
3.100000e-12,5.896373e-03,9.940400e-03,5.896373e-03,9.940400e-03,-4.780466e-07,5.896373e-03,9.940400e-03,5.896373e-03,9.940400e-03,5.896373e-03,9.940400e-03
3.200000e-12,6.481872e-03,1.095310e-02,6.481872e-03,1.095310e-02,-5.024478e-07,6.481872e-03,1.095310e-02,6.481872e-03,1.095310e-02,6.481872e-03,1.095310e-02
3.300000e-12,7.109999e-03,1.204053e-02,7.109999e-03,1.204053e-02,-5.277479e-07,7.109999e-03,1.204053e-02,7.109999e-03,1.204053e-02,7.109999e-03,1.204053e-02
3.400000e-12,7.783268e-03,1.320691e-02,7.783268e-03,1.320691e-02,-5.539872e-07,7.783268e-03,1.320691e-02,7.783268e-03,1.320691e-02,7.783268e-03,1.320691e-02
3.500000e-12,8.504319e-03,1.445671e-02,8.504319e-03,1.445671e-02,-5.812076e-07,8.504319e-03,1.445671e-02,8.504319e-03,1.445671e-02,8.504319e-03,1.445671e-02
3.600000e-12,9.275922e-03,1.579466e-02,9.275922e-03,1.579466e-02,-6.094535e-07,9.275922e-03,1.579466e-02,9.275922e-03,1.579466e-02,9.275922e-03,1.579466e-02
3.700000e-12,1.010098e-02,1.722580e-02,1.010098e-02,1.722580e-02,-6.387713e-07,1.010098e-02,1.722580e-02,1.010098e-02,1.722580e-02,1.010098e-02,1.722580e-02
3.800000e-12,1.098253e-02,1.875545e-02,1.098253e-02,1.875545e-02,-6.692095e-07,1.098253e-02,1.875545e-02,1.098253e-02,1.875545e-02,1.098253e-02,1.875545e-02
3.900000e-12,1.192377e-02,2.038924e-02,1.192377e-02,2.038924e-02,-7.008194e-07,1.192377e-02,2.038924e-02,1.192377e-02,2.038924e-02,1.192377e-02,2.038924e-02
4.000000e-12,1.292807e-02,2.213314e-02,1.292807e-02,2.213314e-02,-7.336548e-07,1.292807e-02,2.213314e-02,1.292807e-02,2.213314e-02,1.292807e-02,2.213314e-02
4.100000e-12,1.399898e-02,2.399346e-02,1.399898e-02,2.399346e-02,-7.677723e-07,1.399898e-02,2.399346e-02,1.399898e-02,2.399346e-02,1.399898e-02,2.399346e-02
4.200000e-12,1.514027e-02,2.597686e-02,1.514027e-02,2.597686e-02,-8.032315e-07,1.514027e-02,2.597686e-02,1.514027e-02,2.597686e-02,1.514027e-02,2.597686e-02
4.300000e-12,1.635590e-02,2.809038e-02,1.635590e-02,2.809038e-02,-8.400951e-07,1.635590e-02,2.809038e-02,1.635590e-02,2.809038e-02,1.635590e-02,2.809038e-02
4.400000e-12,1.765010e-02,3.034146e-02,1.765010e-02,3.034146e-02,-8.784293e-07,1.765010e-02,3.034146e-02,1.765010e-02,3.034146e-02,1.765010e-02,3.034146e-02
4.500000e-12,1.902735e-02,3.273793e-02,1.902735e-02,3.273793e-02,-9.183037e-07,1.902735e-02,3.273793e-02,1.902735e-02,3.273793e-02,1.902735e-02,3.273793e-02
4.600000e-12,2.049238e-02,3.528808e-02,2.049238e-02,3.528808e-02,-9.597916e-07,2.049238e-02,3.528808e-02,2.049238e-02,3.528808e-02,2.049238e-02,3.528808e-02
4.700000e-12,2.205022e-02,3.800064e-02,2.205022e-02,3.800064e-02,-1.002970e-06,2.205022e-02,3.800064e-02,2.205022e-02,3.800064e-02,2.205022e-02,3.800064e-02
4.800000e-12,2.370618e-02,4.088485e-02,2.370618e-02,4.088485e-02,-1.047920e-06,2.370618e-02,4.088485e-02,2.370618e-02,4.088485e-02,2.370618e-02,4.088485e-02
4.900000e-12,2.546587e-02,4.395046e-02,2.546587e-02,4.395046e-02,-1.094728e-06,2.546587e-02,4.395046e-02,2.546587e-02,4.395046e-02,2.546587e-02,4.395046e-02
5.000000e-12,2.733523e-02,4.720777e-02,2.733523e-02,4.720777e-02,-1.143481e-06,2.733523e-02,4.720777e-02,2.733523e-02,4.720777e-02,2.733523e-02,4.720777e-02
5.100000e-12,2.932052e-02,5.066764e-02,2.932052e-02,5.066764e-02,-1.194276e-06,2.932052e-02,5.066764e-02,2.932052e-02,5.066764e-02,2.932052e-02,5.066764e-02
5.200000e-12,3.142835e-02,5.434157e-02,3.142835e-02,5.434157e-02,-1.247211e-06,3.142835e-02,5.434157e-02,3.142835e-02,5.434157e-02,3.142835e-02,5.434157e-02
5.300000e-12,3.366570e-02,5.824170e-02,3.366570e-02,5.824170e-02,-1.302389e-06,3.366570e-02,5.824170e-02,3.366570e-02,5.824170e-02,3.366570e-02,5.824170e-02
5.400000e-12,3.603992e-02,6.238083e-02,3.603992e-02,6.238083e-02,-1.359920e-06,3.603992e-02,6.238083e-02,3.603992e-02,6.238083e-02,3.603992e-02,6.238083e-02
5.500000e-12,3.855879e-02,6.677248e-02,3.855879e-02,6.677248e-02,-1.419919e-06,3.855879e-02,6.677248e-02,3.855879e-02,6.677248e-02,3.855879e-02,6.677248e-02
5.600000e-12,4.123049e-02,7.143093e-02,4.123049e-02,7.143093e-02,-1.482505e-06,4.123049e-02,7.143093e-02,4.123049e-02,7.143093e-02,4.123049e-02,7.143093e-02
5.700000e-12,4.406368e-02,7.637123e-02,4.406368e-02,7.637123e-02,-1.547805e-06,4.406368e-02,7.637123e-02,4.406368e-02,7.637123e-02,4.406368e-02,7.637123e-02
5.800000e-12,4.706749e-02,8.160926e-02,4.706749e-02,8.160926e-02,-1.615952e-06,4.706749e-02,8.160926e-02,4.706749e-02,8.160926e-02,4.706749e-02,8.160926e-02
5.900000e-12,5.025157e-02,8.716174e-02,5.025157e-02,8.716174e-02,-1.687085e-06,5.025157e-02,8.716174e-02,5.025157e-02,8.716174e-02,5.025157e-02,8.716174e-02
6.000000e-12,5.362607e-02,9.304631e-02,5.362607e-02,9.304631e-02,-1.761350e-06,5.362607e-02,9.304631e-02,5.362607e-02,9.304631e-02,5.362607e-02,9.304631e-02
6.100000e-12,5.720175e-02,9.928153e-02,5.720175e-02,9.928153e-02,-1.838901e-06,5.720175e-02,9.928153e-02,5.720175e-02,9.928153e-02,5.720175e-02,9.928153e-02
6.200000e-12,6.098992e-02,1.058869e-01,6.098992e-02,1.058869e-01,-1.919898e-06,6.098992e-02,1.058869e-01,6.098992e-02,1.058869e-01,6.098992e-02,1.058869e-01
6.300000e-12,6.500252e-02,1.128831e-01,6.500252e-02,1.128831e-01,-2.004512e-06,6.500252e-02,1.128831e-01,6.500252e-02,1.128831e-01,6.500252e-02,1.128831e-01
6.400000e-12,6.925213e-02,1.202916e-01,6.925213e-02,1.202916e-01,-2.092919e-06,6.925213e-02,1.202916e-01,6.925213e-02,1.202916e-01,6.925213e-02,1.202916e-01
6.500000e-12,7.375201e-02,1.281353e-01,7.375201e-02,1.281353e-01,-2.185307e-06,7.375201e-02,1.281353e-01,7.375201e-02,1.281353e-01,7.375201e-02,1.281353e-01
6.600000e-12,7.851611e-02,1.364378e-01,7.851611e-02,1.364378e-01,-2.281869e-06,7.851611e-02,1.364378e-01,7.851611e-02,1.364378e-01,7.851611e-02,1.364378e-01
6.700000e-12,8.355910e-02,1.452243e-01,8.355910e-02,1.452243e-01,-2.382812e-06,8.355910e-02,1.452243e-01,8.355910e-02,1.452243e-01,8.355910e-02,1.452243e-01
6.800000e-12,8.889641e-02,1.545209e-01,8.889641e-02,1.545209e-01,-2.488350e-06,8.889641e-02,1.545209e-01,8.889641e-02,1.545209e-01,8.889641e-02,1.545209e-01
6.900000e-12,9.454425e-02,1.643551e-01,9.454425e-02,1.643551e-01,-2.598708e-06,9.454425e-02,1.643551e-01,9.454425e-02,1.643551e-01,9.454425e-02,1.643551e-01
7.000000e-12,1.005196e-01,1.747556e-01,1.005196e-01,1.747556e-01,-2.714122e-06,1.005196e-01,1.747556e-01,1.005196e-01,1.747556e-01,1.005196e-01,1.747556e-01
7.100000e-12,1.068404e-01,1.857523e-01,1.068404e-01,1.857523e-01,-2.834840e-06,1.068404e-01,1.857523e-01,1.068404e-01,1.857523e-01,1.068404e-01,1.857523e-01
7.200000e-12,1.135252e-01,1.973763e-01,1.135252e-01,1.973763e-01,-2.961120e-06,1.135252e-01,1.973763e-01,1.135252e-01,1.973763e-01,1.135252e-01,1.973763e-01
7.300000e-12,1.205937e-01,2.096601e-01,1.205937e-01,2.096601e-01,-3.093232e-06,1.205937e-01,2.096601e-01,1.205937e-01,2.096601e-01,1.205937e-01,2.096601e-01
7.400000e-12,1.280662e-01,2.226373e-01,1.280662e-01,2.226373e-01,-3.231461e-06,1.280662e-01,2.226373e-01,1.280662e-01,2.226373e-01,1.280662e-01,2.226373e-01
7.500000e-12,1.359641e-01,2.363427e-01,1.359641e-01,2.363427e-01,-3.376101e-06,1.359641e-01,2.363427e-01,1.359641e-01,2.363427e-01,1.359641e-01,2.363427e-01
7.600000e-12,1.443097e-01,2.508122e-01,1.443097e-01,2.508122e-01,-3.527464e-06,1.443097e-01,2.508122e-01,1.443097e-01,2.508122e-01,1.443097e-01,2.508122e-01
7.700000e-12,1.531259e-01,2.660826e-01,1.531259e-01,2.660826e-01,-3.685870e-06,1.531259e-01,2.660826e-01,1.531259e-01,2.660826e-01,1.531259e-01,2.660826e-01
7.800000e-12,1.624367e-01,2.821918e-01,1.624367e-01,2.821918e-01,-3.851657e-06,1.624367e-01,2.821918e-01,1.624367e-01,2.821918e-01,1.624367e-01,2.821918e-01
7.900000e-12,1.722670e-01,2.991782e-01,1.722670e-01,2.991782e-01,-4.025176e-06,1.722670e-01,2.991782e-01,1.722670e-01,2.991782e-01,1.722670e-01,2.991782e-01
8.000000e-12,1.826422e-01,3.170808e-01,1.826422e-01,3.170808e-01,-4.206792e-06,1.826422e-01,3.170808e-01,1.826422e-01,3.170808e-01,1.826422e-01,3.170808e-01
8.100000e-12,1.935886e-01,3.359390e-01,1.935886e-01,3.359390e-01,-4.396884e-06,1.935886e-01,3.359390e-01,1.935886e-01,3.359390e-01,1.935886e-01,3.359390e-01
8.200000e-12,2.051330e-01,3.557918e-01,2.051330e-01,3.557918e-01,-4.595847e-06,2.051330e-01,3.557918e-01,2.051330e-01,3.557918e-01,2.051330e-01,3.557918e-01
8.300000e-12,2.173029e-01,3.766783e-01,2.173029e-01,3.766783e-01,-4.804088e-06,2.173029e-01,3.766783e-01,2.173029e-01,3.766783e-01,2.173029e-01,3.766783e-01
8.400000e-12,2.301258e-01,3.986364e-01,2.301258e-01,3.986364e-01,-5.022030e-06,2.301258e-01,3.986364e-01,2.301258e-01,3.986364e-01,2.301258e-01,3.986364e-01
8.500000e-12,2.436298e-01,4.217027e-01,2.436298e-01,4.217027e-01,-5.250110e-06,2.436298e-01,4.217027e-01,2.436298e-01,4.217027e-01,2.436298e-01,4.217027e-01
8.600000e-12,2.578427e-01,4.459119e-01,2.578427e-01,4.459119e-01,-5.488775e-06,2.578427e-01,4.459119e-01,2.578427e-01,4.459119e-01,2.578427e-01,4.459119e-01
8.700000e-12,2.727919e-01,4.712961e-01,2.727919e-01,4.712961e-01,-5.738488e-06,2.727919e-01,4.712961e-01,2.727919e-01,4.712961e-01,2.727919e-01,4.712961e-01
8.800000e-12,2.885044e-01,4.978839e-01,2.885044e-01,4.978839e-01,-5.999722e-06,2.885044e-01,4.978839e-01,2.885044e-01,4.978839e-01,2.885044e-01,4.978839e-01
8.900000e-12,3.050061e-01,5.256996e-01,3.050061e-01,5.256996e-01,-6.272959e-06,3.050061e-01,5.256996e-01,3.050061e-01,5.256996e-01,3.050061e-01,5.256996e-01
9.000000e-12,3.223216e-01,5.547623e-01,3.223216e-01,5.547623e-01,-6.558690e-06,3.223216e-01,5.547623e-01,3.223216e-01,5.547623e-01,3.223216e-01,5.547623e-01
9.100000e-12,3.404735e-01,5.850847e-01,3.404735e-01,5.850847e-01,-6.857411e-06,3.404735e-01,5.850847e-01,3.404735e-01,5.850847e-01,3.404735e-01,5.850847e-01
9.200000e-12,3.594820e-01,6.166718e-01,3.594820e-01,6.166718e-01,-7.169622e-06,3.594820e-01,6.166718e-01,3.594820e-01,6.166718e-01,3.594820e-01,6.166718e-01
9.300000e-12,3.793642e-01,6.495201e-01,3.793642e-01,6.495201e-01,-7.495824e-06,3.793642e-01,6.495201e-01,3.793642e-01,6.495201e-01,3.793642e-01,6.495201e-01
9.400000e-12,4.001335e-01,6.836158e-01,4.001335e-01,6.836158e-01,-7.836514e-06,4.001335e-01,6.836158e-01,4.001335e-01,6.836158e-01,4.001335e-01,6.836158e-01
9.500000e-12,4.217988e-01,7.189339e-01,4.217988e-01,7.189339e-01,-8.192182e-06,4.217988e-01,7.189339e-01,4.217988e-01,7.189339e-01,4.217988e-01,7.189339e-01
9.600000e-12,4.443636e-01,7.554366e-01,4.443636e-01,7.554366e-01,-8.563302e-06,4.443636e-01,7.554366e-01,4.443636e-01,7.554366e-01,4.443636e-01,7.554366e-01
9.700000e-12,4.678252e-01,7.930724e-01,4.678252e-01,7.930724e-01,-8.950335e-06,4.678252e-01,7.930724e-01,4.678252e-01,7.930724e-01,4.678252e-01,7.930724e-01
9.800000e-12,4.921741e-01,8.317747e-01,4.921741e-01,8.317747e-01,-9.353712e-06,4.921741e-01,8.317747e-01,4.921741e-01,8.317747e-01,4.921741e-01,8.317747e-01
9.900000e-12,5.173924e-01,8.714614e-01,5.173924e-01,8.714614e-01,-9.773833e-06,5.173924e-01,8.714614e-01,5.173924e-01,8.714614e-01,5.173924e-01,8.714614e-01
1.000000e-11,5.434538e-01,9.120337e-01,5.434538e-01,9.120337e-01,-1.021106e-05,5.434538e-01,9.120337e-01,5.434538e-01,9.120337e-01,5.434538e-01,9.120337e-01
1.010000e-11,5.703218e-01,9.533765e-01,5.703218e-01,9.533765e-01,-1.066569e-05,5.703218e-01,9.533765e-01,5.703218e-01,9.533765e-01,5.703218e-01,9.533765e-01
1.020000e-11,5.979499e-01,9.953581e-01,5.979499e-01,9.953581e-01,-1.113798e-05,5.979499e-01,9.953581e-01,5.979499e-01,9.953581e-01,5.979499e-01,9.953581e-01
1.030000e-11,6.262802e-01,1.037832e+00,6.262802e-01,1.037832e+00,-1.162810e-05,6.262802e-01,1.037832e+00,6.262802e-01,1.037832e+00,6.262802e-01,1.037832e+00
1.040000e-11,6.552435e-01,1.080635e+00,6.552435e-01,1.080635e+00,-1.213614e-05,6.552435e-01,1.080635e+00,6.552435e-01,1.080635e+00,6.552435e-01,1.080635e+00
1.050000e-11,6.847587e-01,1.123595e+00,6.847587e-01,1.123595e+00,-1.266208e-05,6.847587e-01,1.123595e+00,6.847587e-01,1.123595e+00,6.847587e-01,1.123595e+00
1.060000e-11,7.147334e-01,1.166527e+00,7.147334e-01,1.166527e+00,-1.320581e-05,7.147334e-01,1.166527e+00,7.147334e-01,1.166527e+00,7.147334e-01,1.166527e+00
1.070000e-11,7.450636e-01,1.209241e+00,7.450636e-01,1.209241e+00,-1.376706e-05,7.450635e-01,1.209241e+00,7.450636e-01,1.209241e+00,7.450636e-01,1.209241e+00
1.080000e-11,7.756350e-01,1.251541e+00,7.756350e-01,1.251541e+00,-1.434545e-05,7.756349e-01,1.251541e+00,7.756350e-01,1.251541e+00,7.756350e-01,1.251541e+00
1.090000e-11,8.063240e-01,1.293234e+00,8.063240e-01,1.293234e+00,-1.494041e-05,8.063239e-01,1.293234e+00,8.063240e-01,1.293234e+00,8.063240e-01,1.293234e+00
1.100000e-11,8.369991e-01,1.334131e+00,8.369991e-01,1.334131e+00,-1.555122e-05,8.369991e-01,1.334131e+00,8.369991e-01,1.334131e+00,8.369991e-01,1.334131e+00
1.110000e-11,8.675232e-01,1.374048e+00,8.675232e-01,1.374048e+00,-1.617696e-05,8.675232e-01,1.374048e+00,8.675232e-01,1.374048e+00,8.675232e-01,1.374048e+00
