60,10,1.3691975153522976e-08
60,20,2.7398009449413763e-08
60,30,4.1089617849622274e-08
60,40,5.4795837934553163e-08
60,50,6.848891601501056e-08
60,60,8.217964287593458e-08
60,70,9.587734046347191e-08
60,80,1.095852413257597e-07
60,90,1.2334325918140945e-07
90,10,2.029945411612975e-08
90,20,4.0612645249645475e-08
90,30,6.09127878540799e-08
90,40,8.122582048386798e-08
90,50,1.0152065057530778e-07
90,60,1.2181732631988763e-07
90,70,1.4216970274238995e-07
90,80,1.6243644264061078e-07
90,90,1.8273881088638602e-07
120,10,2.6747435529414817e-08
120,20,5.3495043499075466e-08
120,30,8.024503767673576e-08
120,40,1.0699054694796562e-07
120,50,1.3375251206639973e-07
120,60,1.6050387673938302e-07
120,70,1.8720743420349797e-07
120,80,2.1398109389593124e-07
120,90,2.4071596727430504e-07
150,10,3.302313275127831e-08
150,20,6.606011591297652e-08
150,30,9.908329146254657e-08
150,40,1.3211087997445743e-07
150,50,1.6513947662288046e-07
150,60,1.9816579410092675e-07
150,70,2.31226773828537e-07
150,80,2.6422035777096234e-07
150,90,2.9734340288135673e-07
180,10,3.913886239921963e-08
180,20,7.829098199968368e-08
180,30,1.1743154706808258e-07
180,40,1.5658147166019445e-07
180,50,1.9572047632790886e-07
180,60,2.3489486869172285e-07
180,70,2.7399588117547217e-07
180,80,3.131123764311537e-07
180,90,3.5229630326125475e-07
180,100,3.913886239921963e-07
210,10,4.509601234647596e-08
210,20,9.019218806093049e-08
210,30,1.3529506513105102e-07
210,40,1.8036629073813962e-07
210,50,2.254582717959337e-07
210,60,2.7055237723523793e-07
210,70,3.156274734832808e-07
210,80,3.6073258147627923e-07
210,90,4.0576533600906196e-07
240,10,5.0877627176320004e-08
240,20,1.0176101023624243e-07
240,30,1.5264151535436363e-07
240,40,2.0352202047248486e-07
240,50,2.5440200560121554e-07
240,60,3.0528303070872726e-07
240,70,3.56182227635954e-07
240,80,4.070440409449697e-07
240,90,4.579966518398848e-07
270,10,5.650201066963358e-08
270,20,1.130108636899742e-07
270,30,1.6950603200890072e-07
270,40,2.2602070155673656e-07
270,50,2.824771306577718e-07
270,60,3.390736528766233e-07
270,70,3.9546349462277133e-07
270,80,4.520455069941848e-07
270,90,5.085215594201573e-07
192.5,10,4.1640540940337174e-08
192.5,20,8.329195281729788e-08
192.5,30,1.249327719216744e-07
192.5,40,1.6656903879686133e-07
192.5,50,2.0821095020390094e-07
192.5,60,2.498320980825684e-07
192.5,70,2.9149679326705286e-07
192.5,80,3.3307862668234026e-07
192.5,90,3.747964347886912e-07
192.5,100,4.1640540940337174e-07

