10,180,3.4098838706141547e-18
20,180,6.8205444036444275e-18
30,180,1.023038756892344e-17
40,180,1.3640158858401035e-17
50,180,1.705123810770573e-17
60,180,2.0463423087595058e-17
70,180,2.38686094963722e-17
80,180,2.7276687978112335e-17
90,180,3.068835882727218e-17
100,180,3.4102263380826046e-17
10,192.5,3.6273756132832356e-18
20,192.5,7.255009593977253e-18
30,192.5,1.0882465378778102e-17
40,192.5,1.4508721562741983e-17
50,192.5,1.813521524596959e-17
60,192.5,2.176176509070012e-17
70,192.5,2.538959747642648e-17
80,192.5,2.901141764153885e-17
90,192.5,3.2641014092458806e-17
100,192.5,3.626210267797059e-17
