time,P(B1|X1|X5|X73),P(B2|X1|X5|X73),P(B1|X1|X5|X32),P(B2|X1|X5|X32),P(B1|X1|X5|X34),P(B2|X1|X5|X34),P(B1|X1|X1),P(B2|X1|X1),P(B1|X2|X1),P(B2|X2|X1),P(B1|X5|X1),P(B2|X5|X1),P(B1|X7|X1),P(B2|X7|X1),V(R31),V(R51),V(R72)
1.9e-12,0.001687942,0.00280219,0.001687942,0.00280219,0.001687942,0.002802189,0.001418757,0.002372197,0.0008734931,0.001404203,0.001911556,0.003189807,-0.0003190313,-0.0005379425,-3.16888e-07,-3.16888e-07,1.589328e-07
2e-12,0.00194403,0.003260946,0.00194403,0.003260946,0.00194403,0.003260946,0.001627331,0.002748401,0.001026639,0.00166948,0.002192893,0.003698951,-0.000362159,-0.0006189334,-3.383947e-07,-3.383947e-07,1.837708e-07
2.1e-12,0.002226564,0.003767234,0.002226564,0.003767234,0.002226564,0.003767234,0.00185682,0.003161755,0.001198944,0.001969196,0.002501543,0.004257394,-0.0004084064,-0.0007058793,-3.606843e-07,-3.606843e-07,2.112379e-07
2.2e-12,0.002537217,0.004323997,0.002537217,0.004323997,0.002537217,0.004323997,0.002108583,0.003614586,0.001392018,0.002306228,0.002839011,0.004867691,-0.0004577498,-0.0007986805,-3.837997e-07,-3.837997e-07,2.414909e-07
2.3e-12,0.002877665,0.004934404,0.002877665,0.004934404,0.002877665,0.004934404,0.002383988,0.004109456,0.001607533,0.002683637,0.00320676,0.005532601,-0.0005101107,-0.0008972068,-4.077838e-07,-4.077838e-07,2.746905e-07
2.4e-12,0.003249612,0.005601851,0.003249612,0.005601851,0.003249612,0.00560185,0.002684444,0.004649168,0.00184723,0.003104671,0.00360623,0.006255082,-0.0005653531,-0.001001289,-4.3268e-07,-4.3268e-07,3.110024e-07
2.5e-12,0.003654822,0.006329961,0.003654822,0.006329961,0.003654821,0.00632996,0.003011424,0.005236764,0.002112928,0.003572777,0.004038874,0.007038287,-0.0006232832,-0.00111071,-4.585323e-07,-4.585323e-07,3.505981e-07
2.6e-12,0.004095151,0.007122586,0.004095151,0.007122586,0.00409515,0.007122584,0.003366503,0.005875529,0.002406542,0.004091612,0.004506196,0.007885548,-0.0006836505,-0.001225185,-4.853861e-07,-4.853861e-07,3.936566e-07
2.7e-12,0.004572586,0.007983803,0.004572586,0.007983803,0.004572584,0.007983801,0.003751391,0.006568982,0.002730093,0.004665044,0.005009786,0.00880037,-0.0007461487,-0.001344352,-5.132884e-07,-5.132884e-07,4.403649e-07
2.8e-12,0.005089268,0.008917918,0.005089268,0.008917918,0.005089266,0.008917914,0.004167961,0.007320886,0.003085728,0.005297169,0.005551356,0.009786415,-0.0008104158,-0.001467753,-5.422883e-07,-5.422883e-07,4.909197e-07
2.9e-12,0.005647525,0.009929471,0.005647525,0.009929471,0.005647522,0.009929466,0.004618271,0.008135247,0.003475735,0.005992319,0.006132761,0.0108475,-0.0008760316,-0.001594812,-5.724374e-07,-5.724374e-07,5.455288e-07
3e-12,0.006249881,0.01102325,0.006249881,0.01102325,0.006249876,0.01102324,0.005104578,0.009016325,0.003902554,0.006755079,0.006756018,0.0119876,-0.0009425113,-0.00172482,-6.037901e-07,-6.037901e-07,6.044118e-07
3.1e-12,0.006899069,0.01220431,0.006899069,0.01220431,0.006899063,0.0122043,0.005629348,0.009968648,0.004368795,0.0075903,0.007423303,0.01321083,-0.001009296,-0.001856908,-6.364037e-07,-6.364037e-07,6.678018e-07
3.2e-12,0.007598032,0.01347797,0.007598032,0.01347797,0.007598024,0.01347796,0.006195256,0.01099703,0.004877245,0.008503124,0.008136952,0.01452147,-0.001075741,-0.001990033,-6.70339e-07,-6.70339e-07,7.359462e-07
3.3e-12,0.008349926,0.01484989,0.008349926,0.01484989,0.008349915,0.01484988,0.006805181,0.01210661,0.005430881,0.009499004,0.008899442,0.01592399,-0.001141094,-0.002122945,-7.056602e-07,-7.056602e-07,8.091082e-07
3.4e-12,0.009158109,0.01632605,0.009158109,0.01632605,0.009158095,0.01632603,0.007462205,0.01330284,0.006032876,0.01058373,0.009713374,0.01742302,-0.001204477,-0.002254162,-7.42435e-07,-7.42435e-07,8.875676e-07
3.5e-12,0.01002615,0.01791279,0.01002615,0.01791279,0.01002613,0.01791277,0.00816961,0.01459154,0.006686611,0.01176345,0.01058146,0.01902338,-0.001264862,-0.002381937,-7.80735e-07,-7.80735e-07,9.716222e-07
3.6e-12,0.0109578,0.01961687,0.0109578,0.01961687,0.01095778,0.01961684,0.008930873,0.01597893,0.007395682,0.01304471,0.01150648,0.0207301,-0.001321037,-0.002504222,-8.206356e-07,-8.206356e-07,1.061589e-06
3.7e-12,0.01195704,0.02144545,0.01195704,0.02144545,0.01195701,0.02144541,0.00974967,0.01747164,0.008163913,0.01443447,0.01249129,0.02254839,-0.001371581,-0.002618618,-8.622164e-07,-8.622164e-07,1.157804e-06
3.8e-12,0.01302806,0.02340616,0.01302806,0.02340616,0.01302802,0.02340611,0.01062989,0.01907674,0.008995369,0.01594016,0.0135388,0.02448369,-0.001414824,-0.00272233,-9.055613e-07,-9.055613e-07,1.260627e-06
3.9e-12,0.01417526,0.02550712,0.01417526,0.02550712,0.01417521,0.02550705,0.01157563,0.02080177,0.009894369,0.01756968,0.01465194,0.02654157,-0.001448808,-0.002812099,-9.507586e-07,-9.507586e-07,1.370437e-06
4e-12,0.01540329,0.02775694,0.01540329,0.02775694,0.01540323,0.02775685,0.01259125,0.02265479,0.0108655,0.01933145,0.01583369,0.02872781,-0.001471244,-0.002884131,-9.979017e-07,-9.979017e-07,1.487642e-06
4.1e-12,0.01671708,0.03016478,0.01671708,0.03016478,0.016717,0.03016466,0.01368134,0.02464435,0.01191366,0.02123446,0.01708703,0.03104832,-0.001479461,-0.002934014,-1.047089e-06,-1.047089e-06,1.61267e-06
4.2e-12,0.01812184,0.03274037,0.01812184,0.03274037,0.01812174,0.03274022,0.01485082,0.02677959,0.01304404,0.02328828,0.01841495,0.03350908,-0.001470347,-0.002956618,-1.098424e-06,-1.098424e-06,1.74598e-06
4.3e-12,0.01962309,0.03549402,0.01962309,0.03549402,0.01962296,0.03549383,0.01610488,0.0290702,0.01426218,0.0255031,0.01982043,0.03611617,-0.001440287,-0.002945981,-1.152016e-06,-1.152016e-06,1.888058e-06
4.4e-12,0.02122671,0.03843668,0.02122671,0.03843668,0.02122655,0.03843644,0.01744908,0.03152651,0.01557399,0.02788981,0.02130643,0.03887566,-0.001385085,-0.002895175,-1.207982e-06,-1.207982e-06,2.039421e-06
4.5e-12,0.02293894,0.04157995,0.02293894,0.04157995,0.02293874,0.04157965,0.01888935,0.0341595,0.01698576,0.03046001,0.02287585,0.04179357,-0.001299875,-0.002796159,-1.266443e-06,-1.266443e-06,2.200616e-06
4.6e-12,0.02476641,0.04493612,0.02476641,0.04493612,0.02476617,0.04493575,0.02043201,0.03698085,0.01850424,0.03322605,0.02453149,0.04487578,-0.001179018,-0.002639598,-1.327529e-06,-1.327529e-06,2.372227e-06
4.7e-12,0.0267162,0.04851823,0.0267162,0.04851823,0.0267159,0.04851776,0.0220838,0.04000297,0.02013658,0.03620111,0.02627602,0.04812796,-0.001015986,-0.002414666,-1.391375e-06,-1.391375e-06,2.55487e-06
4.8e-12,0.02879581,0.05234008,0.02879581,0.05234008,0.02879543,0.0523395,0.02385192,0.04323906,0.02189048,0.03939927,0.0281119,0.05155549,-0.0008032219,-0.002108811,-1.458127e-06,-1.458127e-06,2.749203e-06
4.9e-12,0.03101321,0.05641631,0.03101321,0.05641631,0.03101275,0.0564156,0.02574404,0.04670316,0.02377412,0.0428355,0.0300413,0.05516329,-0.0005319814,-0.00170749,-1.527936e-06,-1.527936e-06,2.955919e-06
5e-12,0.03337686,0.06076242,0.03337686,0.06076242,0.0333763,0.06076155,0.02776835,0.05041021,0.02579626,0.04652581,0.03206603,0.05895571,-0.0001921471,-0.00119386,-1.600962e-06,-1.600962e-06,3.175757e-06
5.1e-12,0.03589576,0.06539485,0.03589576,0.06539485,0.03589507,0.06539379,0.02993355,0.0543761,0.02796626,0.05048729,0.03418741,0.06293637,0.0002279831,-0.0005484267,-1.677374e-06,-1.677374e-06,3.409497e-06
