178.56,10,-1.3404340434043133e-14,2.556167962222022e-14
178.56,15.0,-7.633513351334853e-15,2.0424559780612698e-14
178.56,20,-5.020752075207229e-15,1.7714339507214454e-14
178.56,25.0,-6.149614961494031e-15,1.604245940160445e-14
178.56,30,-4.543954395437423e-15,1.467693205127577e-14
178.56,40,-4.11491149115031e-15,1.2434012109346751e-14
178.56,50,-2.4897489748986685e-15,1.1397412426862335e-14
178.56,60,-2.877537753774729e-15,1.011478919177209e-14
178.56,70,-1.0471047104703894e-15,9.393947838567985e-15
178.56,80,-2.2947294729474078e-15,9.106895013010726e-15
178.56,90,-4.3154315431552574e-16,8.304859191914795e-15
178.56,100,-1.0131013101293117e-15,7.821355108445643e-15
